problem_class,instance_id,dynamism,urgency_mean,urgency_sd,num_orders,num_vehicles,gendr_alg,gendr_cost,gendr_tt,gendr_tard,gendr_ot
_240_24,1,0.36385943287524625,99.83212023809521,49.78207440715952,84,10,Tabu,456,336,65,55
_240_24,2,0.3428308836158762,110.8214781914893,49.133043545058555,94,10,Tabu,506,386,68,53
_240_24,3,0.4672317532597623,101.38358853046593,50.24411786012373,93,10,Adaptive_descent,562,355,120,86
_240_24,4,0.3208144595767769,104.98832888888886,50.0367182048864,90,10,Tabu,428,359,38,31
_240_24,5,0.3809730857051866,105.1871152941176,51.463422457765354,85,10,Tabu,476,348,75,52
_240_33,1,0.32813212097703914,86.29931805555549,50.08343772185111,144,10,Tabu,5564,473,4392,699
_240_33,2,0.3943420398750578,90.90596443452382,52.49610521748354,112,10,Tabu,1566,402,867,297
_240_33,3,0.43465874967303886,95.50660930930928,49.239175158082176,111,10,Tabu,1611,455,853,303
_240_33,4,0.38841047300161213,99.1326578431373,51.46288599138398,119,10,Adaptive_descent,1753,405,1031,317
_240_33,5,0.3409662367009868,93.71493387799566,47.84952536636093,153,10,Tabu,5303,495,4121,687
_450_24,1,0.4142238644888965,191.8678058185404,111.45231659974232,169,20,Tabu,540,539,1,0
_450_24,2,0.4241858130142424,198.88437007575746,105.7170442438539,176,20,Adaptive_descent,572,567,3,2
_450_24,3,0.4004649696094791,210.86959288025884,104.13906097535076,206,20,Tabu,632,629,2,1
_450_24,4,0.38494530846989794,216.88015612403095,103.77722585702024,215,20,Adaptive_descent,698,695,2,1
_450_24,5,0.4324007312147974,188.93281625412544,103.31855057854459,202,20,Tabu,694,694,0,0
